name,station_number,elevation,easting_original,northing_original,easting,northing
 733_ 707,1681,1833.428,2701933.255,1172207.17,733.2549999998882,707.1699999999255
 762_ 708,1682,1835.755,2701961.712,1172207.87,761.7119999998249,707.8700000001118
 790_ 708,1683,1837.368,2701990.401,1172208.32,790.4010000000708,708.3200000000652
 819_ 709,1684,1839.525,2702019.346,1172208.991,819.3459999999031,708.9909999999218
 848_ 709,1685,1840.578,2702047.651,1172209.283,847.6510000000708,709.283000000054
 634_ 680,1688,1803.95,2701833.641,1172179.656,633.6409999998286,679.655999999959
 663_ 683,1689,1815.154,2701863.121,1172182.517,663.12099999981,682.5169999999925
 692_ 683,1690,1819.536,2701891.739,1172182.905,691.7390000000596,682.9050000000279
 720_ 684,1691,1823.457,2701919.942,1172183.632,719.9419999998063,683.6319999999832
 748_ 684,1692,1827.014,2701948.085,1172184.144,748.0849999999627,684.1440000000875
 776_ 685,1693,1829.731,2701976.466,1172185.208,776.4660000000149,685.2080000001006
 805_ 686,1694,1831.979,2702005.336,1172185.549,805.3360000001267,685.5490000001155
 833_ 686,1695,1833.704,2702033.228,1172185.982,833.2280000001192,685.9820000000764
 592_ 658,1696,1776.278,2701791.955,1172157.594,591.9550000000745,657.594000000041
 620_ 658,1697,1787.372,2701820.177,1172158.326,620.1770000001416,658.3259999998845
 650_ 658,1698,1802.753,2701849.685,1172158.271,649.6850000000559,658.2709999999497
 679_ 660,1699,1811.629,2701879.266,1172159.955,679.2659999998286,659.9550000000745
 707_ 659,1700,1818.11,2701906.522,1172159.329,706.5219999998808,659.3289999999106
 734_ 660,1701,1817.998,2701934.282,1172159.678,734.2820000001229,659.6780000000726
 764_ 662,1702,1820.455,2701963.554,1172161.991,763.5540000000037,661.9909999999218
 792_ 659,1703,1818.167,2701992.058,1172159.185,792.0580000001937,659.1850000000559
 819_ 662,1704,1818.606,2702019.321,1172162.153,819.3209999999963,662.152999999933
 578_ 634,1705,1764.13,2701778.155,1172133.659,578.1549999997951,633.6589999999851
 607_ 633,1706,1771.629,2701807.242,1172133.45,607.2420000000857,633.4499999999534
 635_ 633,1707,1783.091,2701835.089,1172133.456,635.0890000001527,633.4560000000056
 664_ 635,1708,1796.982,2701863.676,1172134.813,663.6759999999776,634.813000000082
 691_ 635,1709,1803.196,2701891.189,1172134.541,691.1889999997802,634.5409999999683
 721_ 636,1710,1812.75,2701920.753,1172136.15,720.7530000000261,636.1499999999069
 748_ 635,1711,1817.859,2701948.164,1172135.38,748.1639999998733,635.3799999998882
 777_ 637,1712,1816.081,2701977.165,1172136.557,777.1650000000373,636.5570000000298
 806_ 637,1713,1812.497,2702005.632,1172136.553,805.6320000002161,636.5530000000726
 564_ 609,1714,1756.65,2701764.12,1172108.815,564.1200000001118,608.8149999999441
 593_ 610,1715,1763.931,2701793.087,1172110.065,593.0869999998249,610.0649999999441
 620_ 609,1716,1771.716,2701820.399,1172108.936,620.3990000002086,608.935999999987
 650_ 611,1717,1776.825,2701849.595,1172110.758,649.5950000002049,610.7579999999143
 678_ 611,1718,1786.598,2701877.579,1172111.452,677.5789999999106,611.4520000000484
 708_ 611,1719,1795.356,2701907.851,1172111.421,707.8509999997914,611.4210000000894
 735_ 613,1720,1803.419,2701934.943,1172112.964,734.9429999999702,612.9639999999199
 764_ 612,1721,1809.815,2701964.055,1172112.399,764.0550000001676,612.3989999999758
 792_ 615,1722,1812.288,2701991.946,1172114.54,791.9459999999963,614.5400000000373
 550_ 585,1723,1745.372,2701749.946,1172085.339,549.9459999999963,585.3389999999199
 578_ 586,1724,1754.946,2701778.467,1172085.653,578.4670000001788,585.652999999933
 607_ 587,1725,1761.315,2701806.901,1172086.58,606.9010000000708,586.5800000000745
 636_ 587,1726,1767.939,2701836.093,1172086.708,636.0929999998771,586.7080000001006
 665_ 589,1727,1771.267,2701864.698,1172088.877,664.6979999998584,588.877000000095
 692_ 588,1728,1778.574,2701891.966,1172087.627,691.9660000000149,587.627000000095
 721_ 588,1729,1784.431,2701921.455,1172087.768,721.4550000000745,587.7679999999236
 750_ 589,1730,1790.622,2701950.04,1172088.513,750.0400000000373,588.5130000000354
 779_ 589,1731,1795.464,2701978.566,1172089.384,778.566000000108,589.3840000000782
 536_ 560,1732,1728.304,2701735.523,1172060.075,535.5230000000447,560.0749999999534
 566_ 561,1733,1744.268,2701766.146,1172060.812,566.1460000001825,560.811999999918
 593_ 562,1734,1752.102,2701793.49,1172061.697,593.4900000002235,561.6969999999274
 623_ 563,1735,1756.749,2701823.198,1172062.518,623.1979999998584,562.5179999999236
 651_ 563,1736,1760.012,2701851.385,1172062.766,651.3849999997765,562.7660000000615
 680_ 564,1737,1762.734,2701880.125,1172063.505,680.125,563.5049999998882
 708_ 563,1738,1770.064,2701907.97,1172063.367,707.9700000002049,563.3670000000857
 735_ 562,1739,1775.438,2701934.781,1172062.397,734.780999999959,562.3970000001136
 765_ 566,1740,1780.699,2701965.338,1172065.556,765.3379999999888,565.5560000000987
 522_ 537,1741,1711.572,2701721.911,1172037.206,521.9109999998473,537.2060000000056
 553_ 537,1742,1727.916,2701752.897,1172037.136,552.8969999998808,537.1359999999404
 579_ 538,1743,1739.704,2701779.412,1172037.808,579.4120000000112,537.8079999999609
 610_ 538,1744,1749.891,2701809.555,1172038.171,609.5550000001676,538.1710000000894
 635_ 539,1745,1753.904,2701834.806,1172039.108,634.8059999998659,539.1080000000075
 666_ 538,1746,1753.702,2701866.335,1172038.496,666.3349999999627,538.4960000000428
 694_ 539,1747,1753.834,2701894.217,1172039.476,694.2170000001788,539.4760000000242
 721_ 540,1748,1761.084,2701920.863,1172039.637,720.8629999998957,539.6370000001043
 750_ 542,1749,1768.102,2701949.636,1172041.931,749.6359999999404,541.9310000000987
 508_ 513,1750,1690.745,2701707.702,1172013.3,507.70200000004843,513.3000000000466
 538_ 517,1751,1711.473,2701738.173,1172016.537,538.1729999999516,516.5370000000112
 565_ 515,1752,1722.613,2701765.131,1172015.334,565.1310000000522,515.3340000000317
 595_ 516,1753,1735.394,2701795.48,1172016.111,595.4799999999814,516.1110000000335
 621_ 517,1754,1746.709,2701821.323,1172016.726,621.3229999998584,516.7260000000242
 652_ 517,1755,1748.5,2701852.284,1172017.358,652.2839999999851,517.3580000000075
 681_ 516,1756,1747.819,2701880.795,1172016.414,680.7949999999255,516.4140000001062
 707_ 517,1757,1743.065,2701906.884,1172017.035,706.8840000000782,517.0349999999162
 738_ 519,1758,1752.259,2701937.924,1172018.662,737.9240000001155,518.6620000000112
 523_ 491,1760,1693.068,2701723.334,1171990.769,523.3339999997988,490.76900000008754
 552_ 489,1761,1706.443,2701751.698,1171989.163,551.6979999998584,489.16299999994226
 581_ 491,1762,1716.734,2701781.318,1171990.911,581.3179999999702,490.9110000000801
 608_ 490,1763,1726.062,2701807.694,1171990.046,607.6940000001341,490.0460000000894
 638_ 490,1764,1737.167,2701838.388,1171990.375,638.3879999998026,490.375
 666_ 492,1765,1741.688,2701865.543,1171992.16,665.5430000000633,492.1599999999162
 695_ 492,1766,1740.125,2701895.407,1171991.6,695.4070000001229,491.60000000009313
 723_ 493,1767,1732.849,2701922.673,1171992.785,722.6729999999516,492.7849999999162
 480_ 464,1768,1661.555,2701679.52,1171964.234,479.5200000000186,464.23399999993853
 509_ 465,1769,1676.29,2701709.221,1171965.114,509.22099999990314,465.1140000000596
 537_ 465,1770,1691.69,2701736.965,1171965.302,536.964999999851,465.30199999990873
 566_ 465,1771,1703.22,2701766.21,1171965.243,566.2099999999627,465.24300000001676
 594_ 466,1772,1711.408,2701793.741,1171966.244,593.7409999999218,466.24399999994785
 624_ 466,1773,1720.851,2701823.687,1171965.561,623.686999999918,465.56099999998696
 651_ 469,1774,1729.492,2701851.057,1171968.719,651.0570000000298,468.719000000041
 681_ 468,1775,1731.63,2701881.382,1171967.557,681.3820000002161,467.5570000000298
 709_ 468,1776,1729.621,2701908.527,1171967.579,708.526999999769,467.5789999999106
 463_ 439,1777,1643.226,2701663.374,1171938.893,463.3739999998361,438.89299999992363
 495_ 440,1778,1658.946,2701694.688,1171939.501,494.68800000008196,439.5009999999311
 524_ 442,1779,1676.372,2701724.108,1171942.454,524.1080000000075,442.4539999999106
 553_ 441,1780,1690.913,2701753.429,1171940.644,553.4290000000037,440.64400000008754
 581_ 442,1781,1700.26,2701780.975,1171942.069,580.9750000000931,442.0689999999013
 610_ 443,1782,1705.865,2701810.307,1171942.572,610.3070000000298,442.57199999992736
 639_ 444,1783,1716.293,2701839.091,1171943.94,639.0910000000149,443.9399999999441
 666_ 444,1784,1721.262,2701866.47,1171943.872,666.4700000002049,443.8719999999739
 696_ 444,1785,1725.628,2701895.815,1171944.377,695.8149999999441,444.377000000095
 452_ 416,1786,1629.909,2701652.359,1171915.841,452.35900000017136,415.8410000000149
 481_ 416,1787,1645.19,2701680.726,1171916.046,480.7259999997914,416.0460000000894
 510_ 417,1788,1658.833,2701709.713,1171917.083,509.7129999999888,417.0830000001006
 540_ 420,1789,1675.426,2701739.522,1171919.579,539.5219999998808,419.5789999999106
 568_ 418,1790,1688.127,2701768.455,1171917.6,568.4550000000745,417.60000000009313
 595_ 416,1791,1694.524,2701794.822,1171916.37,594.8220000001602,416.37000000011176
 624_ 421,1792,1701.155,2701824.109,1171920.517,624.1090000001714,420.51699999999255
 654_ 419,1793,1706.029,2701853.507,1171919.372,653.5070000002161,419.3719999999739
 681_ 420,1794,1712.638,2701881.095,1171919.745,681.0950000002049,419.74500000011176
 439_ 393,1795,1615.953,2701639.219,1171893.039,439.219000000041,393.03900000010617
 467_ 392,1796,1629.603,2701666.74,1171891.801,466.7400000002235,391.80099999997765
 496_ 392,1797,1644.18,2701695.598,1171891.585,495.59800000023097,391.58499999996275
 524_ 391,1798,1658.794,2701724.275,1171890.626,524.2749999999069,390.6259999999311
 554_ 394,1799,1671.415,2701754.318,1171894.004,554.3179999999702,394.00399999995716
 582_ 395,1800,1680.513,2701781.558,1171895.301,581.5580000001937,395.30099999997765
 610_ 395,1801,1686.001,2701810.005,1171894.676,610.0049999998882,394.67599999997765
 638_ 397,1802,1692.473,2701838.447,1171897.085,638.4470000001602,397.08499999996275
 669_ 397,1803,1700.427,2701868.763,1171897.221,668.7629999998026,397.22099999990314
 425_ 368,1804,1600.448,2701625.331,1171868.044,425.33099999977276,368.0439999999944
 452_ 366,1805,1612.796,2701651.688,1171865.738,451.68800000008196,365.7379999998957
 482_ 369,1806,1627.1,2701681.523,1171868.787,481.5230000000447,368.7870000000112
 509_ 368,1807,1642.257,2701709.136,1171868.461,509.1359999999404,368.46099999989383
 538_ 371,1808,1658.893,2701738.208,1171870.741,538.2080000001006,370.74099999992177
 597_ 372,1810,1671.186,2701797.14,1171871.532,597.1400000001304,371.5319999998901
 624_ 372,1811,1679.903,2701824.349,1171872.394,624.3489999999292,372.39400000008754
 653_ 373,1812,1683.361,2701853.005,1171872.912,653.0049999998882,372.9120000000112
 411_ 345,1813,1585.348,2701611.127,1171845.205,411.12699999986216,345.2050000000745
 440_ 345,1814,1600.722,2701640.203,1171844.624,440.20300000021234,344.6240000000689
 469_ 345,1815,1610.515,2701668.611,1171844.884,468.6110000000335,344.88400000007823
 496_ 345,1816,1625.686,2701696.184,1171844.875,496.18399999989197,344.875
 525_ 345,1817,1640.453,2701725.109,1171844.753,525.1090000001714,344.7530000000261
 552_ 346,1818,1649.861,2701751.61,1171846.133,551.6099999998696,346.1329999999143
 610_ 348,1820,1666.024,2701810.237,1171847.989,610.2370000001974,347.9890000000596
 640_ 349,1821,1672.885,2701840.368,1171849.466,640.3679999997839,349.4660000000149
